name,price_cur,price_prev
"Набор конфет Кондитер Кубани, 150г",29.99,199.90
"Новогодний подарок ""Веселые прилипалы"", 150г",29.99,129.90
"Новогодний подарок ""Milky Way"" Письмо Деду Морозу, 85г",49.99,199.90
"Новогодний подарок ""Забавный заяц"", 500г",149.90,599.90
"Пельмени ""Крутогорские"" с куриной грудкой, 700г",99.99,379.90
"Новогодний подарок ""Бон Пари"", 226г",79.99,299.90
"Молоко сгущенное Любимая классика цельное с сахаром 8,5% БЗМЖ, 380г",49.99,169.90
"Игровой набор для песка Нордпласт Шкода №4, 3предмета",39.99,129.90
"Пельмени ""Цезарь"" Superior замороженные, 700г",129.90,399.90
"Пельмени ""Цезарь"" Elite замороженные, 700г",129.90,399.90
"Пельмени ""Caesar"" Standard с говядиной и свининой, 700г",129.90,399.90
"Батончик-мюсли ""Everyday"" Чернослив и шоколад, 50г",19.99,59.99
"Пельмени ""Мираторг"" Домашние со свининой и говядиной, 800г",219.90,642.40
"Пельмени ""Ложкарев"" из отборной говядины, 450г",69.99,194.90
"Протеиновый батончик ""Goodies"" Клубника с шоколадом, 40г",39.99,109.90
"Пельмени ""Цезарь"" Классика, 800г",239.90,647.40
"Средство для чистки унитаза ""Harpic"" Original, 450мл",149.90,399.90
"Розмарин Kotányi, 15г",29.99,79.99
"Пельмени ""Мираторг"" Фермерские, 800г",219.90,559.90
"Пельмени ""Цезарь"" с мясом бычков, 750г",239.90,594.90
"Чипсы картофельные ""Lava Lava"" Сыр, 50г",59.99,79.99
"Макаронные изделия ""Шебекинские"" Лапша Лингвини №011, 450г",49.99,69.99
"Сахар ""Русский сахар"", прессованный, 1кг",114.90,
"Сухарики ржано-пшеничные ""Хрусteam"" Сметана/Сочная буженина/Лобстер/Сладкий чили, 60г",39.99,
"Макаронные изделия ""Makfa"" Спирали, 450г",72.99,
"Масло ""Filippo Berio"" Extra Virgin оливковое, 500мл",349.90,694.90
"Масло ""Borges"" Extra Virgin оливковое, 0,5л",659.99,
"Макаронные изделия ""Makfa"" Вермишель длинная Спагетти, 450/500г",73.99,
"Макаронные изделия ""Makfa"" Цветочки, 450г",72.99,
"Крупа ""Увелка"" гречневая в пакетах для варки, 5х80г",64.99,109.90
"Макаронные изделия ""Makfa"" Витки, 450г",72.99,
"Макаронные изделия ""Makfa"" Петушиные гребешки, 450г",72.99,
"Сахар прессованный, 1кг",80.99,
"Семечки ""Джинн"" подсолнечные с морской солью, 140г",79.99,104.90
"Семечки ""От Мартина"" подсолнечные отборные, 100г",47.99,
"Макаронные изделия ""Makfa"" Перья Любительские, 450г",72.99,
"Семечки ""От Мартина"" Молодежные подсолнечника, 100г",34.99,
"Семечки ""От Мартина"" подсолнечные отборные с морской солью, 100г",47.99,
"Семечки ""Ciko"" подсолнечные белые отборные с солью, 100г",76.99,
"Семечки ""От Мартина"" подсолнечные белые с солью, 100г",54.99,
